K,Q,Unnamed: 2
Загальновживана назва,Яка загальноприйнята назва Польща,
Загальновживана назва,Яка поширена назва Польща,
Загальновживана назва,Яка загальнопоширена назва Польща,
Офіційна назва,Яка довга назва Польща,
Офіційна назва,Яка повна назва Польща,
Назва державною мовою,Як Польща називається офіційною мовою,
Назва державною мовою,Яка нативна назва Польща,
Національний гімн,Який національний гімн Польща,
Національний гімн,Який гімн Польща,
Національний гімн,Гімн Польща,
Національний гімн,Як називається гімн Польща,
Офіційна назва,Повна назва Польща,
Офіційні мови,Офіційні мови у Польща,
Офіційні мови,Які офіційні мови Польща,
Офіційні мови,Яка державна мова Польща,
Офіційні мови,Яка основна мова у Польща,
Офіційні мови,Які мови основні у Польща,
Офіційні мови,Які мови у Польща державні,
Офіційні мови,Яка мова у Польща офіційна,
Столиця,Яка столиця Польща,
Столиця,Яка у Польща столиця,
Столиця,Яке місто у Польща столичне,
Столиця,Столиця Польща,
Координати,Де знаходиться Польща,
Координати,Які координати Польща,
Координати,Де Польща,
Найбільше місто,Яке найбільше місто Польща,
Найбільше місто,Яке у Польща найбільше місто,
Найбільше місто,Яке головне місто Польща,
Найбільше місто,Яке основне місто країни Польща,
Демонім,Який демонім Польща,
Демонім,Як називаються мешканці Польща,
Демонім,Як називають жителів Польща,
Демонім,Як називають народ Польща,
Демонім,Як називається народ Польща,
Форма правління,Який тип уряду Польща,
Форма правління,Яка форма уряду Польща,
Форма правління,Яка у Польща форма уряду,
Форма правління,Який тип республіки у Польща,
Форма правління,Яка форма правління у Польща,
Форма правління,Який тип правління Польща,
Посади лідерів,Як називаються лідера Польща,
Посади лідерів,Як називається голова держави у Польща,
Посади лідерів,Який тип лідера у Польща,
Посади лідерів,Яка головна людина у Польща,
Посади лідерів,Який головний лідер у Польща,
Посади лідерів,Який голова держави у Польща,
Імена лідерів,Хто голова держави у Польща,
Імена лідерів,Хто президент Польща,
Імена лідерів,Хто головний у Польща,
Імена лідерів,Хто лідер Польща,
Імена лідерів,Хто лідер держави у Польща,
Імена лідерів,Як звати лідера Польща,
Імена лідерів,Яке ім'я президента Польща,
Імена лідерів,Яке ім'я голови держави у Польща,
Імена лідерів,Які імена лідерів країни Польща,
Місце за площею,Яка за порядком Польща за площею,
Місце за площею,На якому місці Польща за площею у світі,
Місце за площею,Яка у світі Польща за площею,
Площа,Яка площа Польща,
Площа,Площа Польща,
Площа,Який розмір Польща,
Площа,Скільки квадратних кілометрів у Польща,
Площа,Яка площа території Польща,
Площа,Який розмір території Польща,
"Відсоток, покритий водою",Який відсоток води на території Польща,
"Відсоток, покритий водою",Який відсоток площі Польща становить вода,
"Відсоток, покритий водою",Скільки води у Польща,
"Відсоток, покритий водою",Яка площа води у Польща,
Населення,Яке населення Польща,
Населення,Яке оціночне населення Польща,
Населення,Населення Польща,
Населення,Скільки людей живе у Польща,
Населення,Скільки мешканців у Польща,
Населення,Скільки жителів Польща,
Населення,Скільки живе у Польща,
Населення,Скільки людей мешкає у Польща,
Місце за населенням,Яка Польща за населенням у світі,
Місце за населенням,Яка за порядком Польща за населенням,
Місце за населенням,На якому місці Польща за населенням,
Рік останнього перепису населення,Коли відбувся перепис у Польща,
Рік останнього перепису населення,Яка дата останнього перепису у Польща,
Густота населення,Яка густота населення Польща,
Густота населення,Яка густина населення Польща,
Густота населення,Наскільки густонаселена Польща,
Густота населення,Скільки людей на квадратний кілометр у Польща,
Густота населення,Густота населення Польща,
Місце за густотою населення,Яка Польща за густотою населення у світі,
Місце за густотою населення,На якому місці Польща за густотою населення,
Місце за густотою населення,Яка за порядком Польща за густотою населення,
ВВП (ПКС),Який ВВП Польща,
ВВП (ПКС),Який внутрішній валовий продукт Польща,
ВВП (ПКС),Який у Польща ВВП,
ВВП (ПКС),Який розмір економіки Польща,
ВВП (ПКС),Яка економіка у Польща,
ВВП (ПКС),Скільки доларів становить ВВП Польща,
ВВП (ПКС),Скільки доларів економіка Польща,
ВВП (ПКС),Який повний ВВП Польща,
Місце за ВВП (ПКС),Яка Польща за розміром ВВП,
Місце за ВВП (ПКС),Яка за порядком у світі Польща по ВВП,
Місце за ВВП (ПКС),На якому місці Польща за ВВП,
ВВП (ПКС) на душу населення,Який ВВП на душу населення у Польща,
ВВП (ПКС) на душу населення,Який ВВП Польща на душу,
