words,ents,anns
(,-,
caption_bathymetry,-,
=,-,
Зменшення,-,
рівня,-,
Аральського,-,LOC
моря,-,LOC
впродовж,-,
2000,-,
-,-,
2011,-,
років,-,
),-,
(,-,
basin_countries,-,
=,-,
Казахстан,Казахстан | I-LOC,LOC
",",-,
Узбекистан,Узбекистан | I-LOC,LOC
",",-,
Туркменістан,Туркменістан | I-LOC,LOC
",",-,
Таджикистан,Таджикистан | I-LOC,LOC
",",-,
Афганістан,Афганістан | I-LOC,LOC
),-,
"""",-,
Байкал,-,LOC
"""",-,
—,-,
озеро,-,
в,-,
Росії,Росії | I-LOC,LOC
",",-,
знаходиться,-,
у,-,
горах,-,
південної,-,
частини,-,
Східного,-,LOC
Сибіру,Сибіру | I-LOC,LOC
.,-,
Це,-,
найглибше,-,
прісноводне,-,
озеро,-,
на,-,
Землі,-,
",",-,
розташоване,-,
на,-,
висоті,-,
456,-,
м,-,
над,-,
рівнем,-,
моря,-,
;,-,
найглибша,-,
ділянка,-,
озера,-,
розташована,-,
поблизу,-,
острова,-,
Ольхон,Ольхон | I-LOC,LOC
і,-,
становить,-,
1642,-,
м,-,
.,-,
Найбільша,-,
глибина,-,
занурення,-,
становила,-,
1620,-,
м,-,
.,-,
Середня,-,
глибина,-,
його,-,
також,-,
дуже,-,
велика,-,
—,-,
"744,4",-,
м,-,
(,-,
cities,-,
=,-,
"""",-,
Австрія,Австрія | I-LOC,LOC
:,-,
"""",-,
Брегенц,-,LOC
"""",-,
Німеччина,Німеччина | I-LOC,LOC
:,-,
"""",-,
Констанц,-,LOC
",",-,
Фрідріхсхафен,-,LOC
",",-,
Ліндау,Ліндау | I-LOC,LOC
"""",-,
Швейцарія,Швейцарія | I-LOC,LOC
:,-,
"""",-,
Арбон,-,LOC
",",-,
Кройцлінген,-,LOC
",",-,
Роршах,Роршах | I-PER,LOC
),-,
"""",-,
Боденське,-,LOC
озеро,-,LOC
"""",-,
(,-,
"""",-,
Bodensee,-,
"""",-,
),-,
—,-,
найбільше,-,
та,-,
одне,-,
з,-,
найглибших,-,
озер,-,
у,-,
Альпах,Альпах | I-LOC,LOC
",",-,
на,-,
межі,-,
Німеччини,Німеччини | I-LOC,LOC
",",-,
Швейцарії,Швейцарії | I-LOC,LOC
та,-,
Австрії,Австрії | I-LOC,LOC
;,-,
538,-,
км,-,
²,-,
",",-,
глибина,-,
до,-,
252,-,
м,-,
;,-,
через,-,
Боденське,-,LOC
озеро,-,LOC
протікає,-,
річка,-,
Рейн,-,LOC
.,. | I-LOC,
Багате,-,
на,-,
цінні,-,
види,-,
риб,-,
(,-,
лосось,-,
",",-,
форель,-,
",",-,
минь,-,
та,-,
ія,-,
.,-,
),-,
.,-,
Судноплавне,Судноплавне | I-PER,
.,-,
На,-,
узбережжі,-,
—,-,
ряд,-,
курортів,-,
.,-,
(,-,
оригінальна,-,
назва,-,
=,-,
Хенераль,-,LOC
-,-,LOC
Каррера,-,LOC
/,-,
Челенко,-,LOC
"""",-,
Buenos,-,
Aires,-,
/,-,
General,-,
Carrera,-,
/,-,
Chelenko,-,
"""",-,
),-,
(,-,
вливаються,-,
=,-,
Солер,-,LOC
",",-,
Лос,Лос | I-LOC,LOC
-,- | I-LOC,LOC
Антігуос,Антігуос | I-LOC,LOC
",",-,
Хейнемені,-,LOC
",",-,
Ібаньєс,-,LOC
",",-,
Сан,Сан | I-LOC,LOC
-,- | I-LOC,LOC
Мартін,Мартін | I-LOC,LOC
",",-,
Дельта,-,
),-,
(,-,
міста,-,
=,-,
Чилі,Чилі | I-LOC,LOC
-,- | I-LOC,
Чіко,Чіко | I-LOC,LOC
",",-,
Пуерто,Пуерто | I-LOC,LOC
-,- | I-LOC,LOC
Інгеньєро,Інгеньєро | I-LOC,LOC
-,-,LOC
Ібаньєс,-,LOC
",",-,
Пуерто,Пуерто | I-LOC,LOC
-,- | I-LOC,LOC
Гуадал,Гуадал | I-LOC,LOC
",",-,
Лос,Лос | I-LOC,LOC
-,- | I-LOC,LOC
Антігвос,Антігвос | I-LOC,LOC
),-,
"""",-,
Буенос,-,LOC
-,-,LOC
Айрес,-,LOC
"""",-,
(,-,
),-,
—,-,
озеро,-,
льодовикового,-,
походження,-,
в,-,
Патагонських,-,LOC
Андах,Андах | I-LOC,LOC
",",-,
на,-,
кордоні,-,
Аргентини,Аргентини | I-LOC,LOC
та,-,
Чилі,Чилі | I-LOC,LOC
.,-,
В,-,
Аргентині,Аргентині | I-LOC,LOC
має,-,
назву,-,
Буенос,Буенос | I-LOC,LOC
-,- | I-LOC,LOC
Айрес,Айрес | I-LOC,LOC
",",-,
а,-,
в,-,
Чилі,Чилі | I-LOC,LOC
—,-,
"""",-,
Хенераль,-,LOC
-,-,LOC
Каррера,-,LOC
"""",-,
(,-,
(,-,
caption_bathymetry,-,
=,-,
Мапа,-,
розташування,-,
Великого,-,LOC
Невільничого,-,LOC
озера,-,LOC
й,-,
Атабаска,-,LOC
),-,
"""",-,
Велике,-,LOC
Невільниче,-,LOC
озеро,-,LOC
"""",-,
(,-,
",",-,
),-,
—,-,
друге,-,
за,-,
величиною,-,
озеро,-,
в,-,
Північно,Північно | I-LOC,LOC
-,- | I-LOC,LOC
Західних,Західних | I-LOC,LOC
територіях,-,LOC
в,-,
Канаді,Канаді | I-LOC,LOC
(,-,
після,-,
Великого,-,LOC
Ведмежого,-,LOC
озера,-,LOC
),-,
",",-,
найглибше,-,
озеро,-,
в,-,
