words,ents,anns
<S>,-,
"""",-,
Австралія,-,LOC
",",-,
"""",-,
або,-,
"""",-,
Австралійський,-,LOC
Союз,-,LOC
"""",-,
(,-,
),-,
—,-,
держава,-,
у,-,
Південній,Південній | I-LOC,LOC
півкулі,-,LOC
Землі,-,LOC
на,-,
Австралійському,-,LOC
материку,-,
і,-,
острові,-,
Тасманія,Тасманія | I-LOC,LOC
.,-,
До,-,
складу,-,
країни,-,
входять,-,
також,-,
багато,-,
невеликих,-,
островів,-,
",",-,
серед,-,
яких,-,
Норфолк,Норфолк | I-LOC,LOC
і,-,
Лорд,-,LOC
-,-,LOC
Гав,-,LOC
в,-,
Тихому,-,LOC
океані,-,LOC
",",-,
Кокосові,-,LOC
острови,-,LOC
в,-,
Індійському,Індійському | I-LOC,LOC
та,-,
інші,-,
.,-,
Найближчими,-,
сусідніми,-,
країнами,-,
є,-,
Індонезія,Індонезія | I-LOC,LOC
",",-,
Східний,Східний | I-LOC,LOC
Тимор,Тимор | I-LOC,LOC
і,-,
Папуа,Папуа | I-LOC,LOC
Нова,Нова | I-LOC,LOC
Гвінея,Гвінея | I-LOC,LOC
на,-,
півночі,-,
",",-,
Соломонові,Соломонові | I-LOC,LOC
острови,острови | I-LOC,LOC
",",-,
Вануату,Вануату | I-LOC,LOC
і,-,
Нова,Нова | I-LOC,LOC
Каледонія,Каледонія | I-LOC,LOC
на,-,
північному,-,
сході,-,
",",-,
Нова,Нова | I-LOC,LOC
Зеландія,Зеландія | I-LOC,LOC
на,-,
південному,-,
сході,-,
.,-,
</S>,-,
<S>,-,
Щонайменше,-,
40,-,
тисяч,-,
років,-,
до,-,
перших,-,
європейських,-,
поселенців,-,
у,-,
18,-,
столітті,-,
територію,-,
країни,-,
населяли,-,
австралійські,-,
аборигени,-,
",",-,
які,-,
належали,-,
до,-,
однієї,-,
або,-,
приблизно,-,
250,-,
мовних,-,
груп,-,
.,-,
Першими,-,
на,-,
півночі,-,
континенту,-,
були,-,
нідерландські,-,
мандрівники,-,
1606,-,
року,-,
.,-,
На,-,
східну,-,
частину,-,
Австралії,Австралії | I-LOC,LOC
першими,-,
висадилися,-,
британці,-,
1770,-,
року,-,
.,-,
Вони,-,
поступово,-,
заселили,-,
південно,-,
-,-,
східне,-,
узбережжя,-,
",",-,
головно,-,
шляхом,-,
переселення,-,
сюди,-,
злочинців,-,
",",-,
і,-,
створили,-,
колонію,-,
Новий,Новий | I-LOC,LOC
Південний,Південний | I-LOC,LOC
Уельс,Уельс | I-LOC,LOC
.,-,
Населення,-,
стабільно,-,
зростало,-,
протягом,-,
наступних,-,
десятиліть,-,
",",-,
континент,-,
був,-,
краще,-,
досліджений,-,
і,-,
згодом,-,
було,-,
утворено,-,
ще,-,
5,-,
самоврядних,-,
колоній,-,
.,-,
</S>,-,
<S>,-,
1,-,
січня,-,
1901,-,
року,-,
шість,-,
колоній,-,
стали,-,
федерацією,-,
",",-,
і,-,
в,-,
такий,-,
спосіб,-,
утворено,-,
Австралійський,-,LOC
Союз,Союз | I-ORG,LOC
.,-,
З,-,
того,-,
часу,-,
Австралія,Австралія | I-LOC,LOC
зберегла,-,
стійку,-,
ліберальну,-,
демократичну,-,
політичну,-,
систему,-,
і,-,
входить,-,
до,-,
Співдружності,Співдружності | I-ORG,LOC
націй,націй | I-ORG,LOC
.,-,
Площа,-,
країни,країни | I-LOC,
7,-,
686,-,
850,-,
км,-,
²,-,
(,-,
Австралійський,-,LOC
Союз,-,LOC
за,-,
площею,-,
посідає,-,
6,-,
-,-,
е,-,
місце,-,
серед,-,
країн,-,
світу,-,
),-,
.,-,
Австралія,Австралія | I-LOC,LOC
має,-,
багаті,-,
",",-,
хоча,-,
ще,-,
не,-,
повністю,-,
досліджені,-,
природні,-,
ресурси,-,
.,-,
Населення,-,
—,-,
"23,8",-,
млн,-,
осіб,-,
(,-,
2015,-,
),-,
",",-,
з,-,
яких,-,
близько,-,
60,-,
%,-,
проживає,-,
в,-,
найбільших,-,
містах,-,
країни,-,
та,-,
їх,-,
агломераціях,-,
:,-,
Сіднея,Сіднея | I-LOC,LOC
",",-,
Мельбурна,Мельбурна | I-LOC,LOC
",",-,
Брисбена,Брисбена | I-LOC,LOC
",",-,
Перта,Перта | I-LOC,LOC
та,-,
Аделаїди,Аделаїди | I-PER,LOC
.,. | I-PER,
Столиця,-,
країни,країни | I-LOC,
—,-,
місто,-,
Канберра,Канберра | I-LOC,LOC
",",-,
розташоване,-,
у,-,
Австралійській,-,LOC
столичній,столичній | I-LOC,LOC
території,-,LOC
.,-,
Близько,-,
57,-,
%,-,
населення,-,
Австралії,Австралії | I-LOC,LOC
проживає,-,
у,-,
Вікторії,Вікторії | I-LOC,LOC
або,-,
Новому,Новому | I-LOC,LOC
Південному,Південному | I-LOC,LOC
Уельсі,Уельсі | I-LOC,LOC
",",-,
79,-,
%,-,
проживає,-,
у,-,
східних,-,
штатах,-,
країни,країни | I-LOC,
.,-,
</S>,-,
<S>,-,
Австралія,Австралія | I-LOC,LOC
—,-,
багата,-,
і,-,
розвинена,-,
країна,-,
",",-,
нині,-,
її,-,
економіка,-,
13,-,
-,-,
та,-,
серед,-,
найбільших,-,
економік,-,
світу,-,
.,-,
Австралія,Австралія | I-LOC,LOC
займає,-,
перші,-,
позиції,-,
у,-,
різноманітних,-,
рейтингах,-,
країн,-,
",",-,
таких,-,
як,-,
якість,-,
життя,-,
",",-,
охорона,-,
здоровя,-,
",",-,
освіта,-,
",",-,
тривалість,-,
життя,-,
",",-,
економічна,-,
свобода,-,
і,-,
захист,-,
громадських,-,
та,-,
політичних,-,
прав,-,
</S>,-,
<S>,-,
"""",-,
Алжир,Алжир | I-LOC,LOC
"""",-,
(,-,
;,-,
;,-,
",",-,
офіційно,-,
"""",-,
Алжирська,-,LOC
Народна,-,LOC
Демократична,-,LOC
Республіка,-,LOC
"""",-,
(,-,
—,-,
Аль,-,LOC
-,-,LOC
Джумхурія,-,LOC
аль,-,LOC
-,-,LOC
Джезаірія,-,LOC
Демократія,-,LOC
аш,-,LOC
-,-,LOC
Шаабія,-,LOC
),-,
—,-,
держава,-,
на,-,
північному,-,
заході,-,
Африки,Африки | I-LOC,LOC
/,-,
/,-,
.,-,
Член,-,
ООН,ООН | I-ORG,
з,-,
1962,-,
року,-,
/,-,
/,-,
</S>,-,
<S>,-,
"""",-,
Республіка,-,LOC
Анґола,-,LOC
"""",-,
(,-,
),-,
—,-,
незалежна,-,
держава,-,
на,-,
південному,-,
заході,-,
Африки,Африки | I-LOC,LOC
",",-,
колишня,-,
португальська,-,
колонія,-,
.,-,
Член,-,
ООН,ООН | I-ORG,
з,-,
1,-,
грудня,-,
1976,-,
року,-,
/,-,
/,-,
.,-,
Площа,-,
:,-,
1,-,
246.7,-,
тис,-,
.,-,
км,-,
²,-,
(,-,
23,-,
-,-,
е,-,
місце,-,
у,-,
світі,-,
),-,
</S>,-,
<S>,-,
"""",-,
Аргентина,-,LOC
"""",-,
(,-,
",",-,
читається,-,
як,-,
),-,
",",-,
офіційно,-,
"""",-,
Аргентинська,-,LOC
Республіка,-,LOC
"""",-,
—,-,
держава,-,
в,-,
Південній,Південній | I-LOC,LOC
Америці,Америці | I-LOC,LOC
",",-,
що,-,
займає,-,
південно,-,
-,-,
східну,-,
частину,-,
материка,-,
",",-,
східну,-,
частину,-,
о,-,
.,-,
Вогняна,-,LOC
Земля,-,LOC
і,-,
низку,-,
островів,-,
у,-,
південній,-,
Атлантиці,-,LOC
.,-,
Межує,-,
на,-,
півдні,-,
й,-,
заході,-,
з,-,
Чилі,Чилі | I-LOC,LOC
",",-,
на,-,
північному,-,
заході,-,
з,-,
Болівією,Болівією | I-LOC,LOC
",",-,
на,-,
сході,-,
з,-,
Парагваєм,Парагваєм | I-LOC,LOC
",",-,
Бразилією,Бразилією | I-LOC,LOC
",",-,
Уругваєм,Уругваєм | I-LOC,LOC
і,-,
омивається,-,
Атлантичним,-,LOC
океаном,-,LOC
.,-,
Площа,-,
2,-,
780,-,
92,-,
км,-,
²,-,
.,-,
За,-,
переписом,-,
2010,-,
року,-,
населення,-,
Аргентини,Аргентини | I-LOC,LOC
становить,-,
40,-,
91,-,
359,-,
осібhttp,-,
:,-,
/,-,
/,-,
www.censo2010,-,
.,-,
indec.gov.ar,-,
/,-,
preliminares,-,
/,-,
cuadro_totalpais.asp,-,
.,-,
Орієнтовна,-,
кількість,-,
жителів,-,
на,-,
2016,-,
рік,-,
</S>,-,
<S>,-,
"""",-,
Афганістан,-,LOC
"""",-,
(,-,
",",-,
),-,
",",-,
повна,-,
офіційна,-,
назва,-,
"""",-,
Ісламська,-,LOC
Республіка,-,LOC
Афганістан,-,LOC
"""",-,
(,-,
",",-,
",",-,
</S>,-,
<S>,-,
"""",-,
Бельгія,-,LOC
"""",-,
(,-,
",",-,
",",-,
),-,
",",-,
офіційна,-,
назва,-,
:,-,
"""",-,
Королівство,-,LOC
Бельгія,-,LOC
"""",-,
—,-,
держава,-,
у,-,
Західній,Західній | I-LOC,LOC
Європі,Європі | I-LOC,LOC
.,-,
На,-,
півночі,-,
омивається,-,
Північним,-,LOC
морем,-,LOC
.,-,
На,-,
суходолі,-,
межує,-,
на,-,
півночі,-,
з,-,
Нідерландами,Нідерландами | I-LOC,LOC
",",-,
на,-,
сході,-,
—,-,
з,-,
Німеччиною,Німеччиною | I-LOC,LOC
і,-,
Люксембургом,Люксембургом | I-LOC,LOC
",",-,
на,-,
півдні,-,
—,-,
з,-,
Францією,Францією | I-LOC,LOC
.,-,
Площа,-,
країни,країни | I-LOC,
—,-,
30,-,
528,-,
км,-,
²,-,
(,-,
139,-,
місце,-,
у,-,
світі,-,
),-,
",",-,
населення,-,
—,-,
11,-,
161,-,
600,-,
осіб,-,
(,-,
відповідно,-,
до,-,
оцінки,-,
на,-,
2014,-,
рік,-,
),-,
.,-,
За,-,
густотою,-,
населення,-,
(,-,
367,-,
ос,-,
.,-,
на,-,
1,-,
км,-,
²,-,
),-,
Бельгія,Бельгія | I-LOC,LOC
посідає,-,
одне,-,
з,-,
перших,-,
місць,-,
у,-,
світі,-,
.,-,
Столиця,Столиця | I-LOC,
—,-,
Брюссель,Брюссель | I-LOC,LOC
(,-,
",",-,
</S>,-,
<S>,-,
"""",-,
Держава,-,
Бруней,-,LOC
Даруссалам,-,LOC
"""",-,
(,-,
",",-,
),-,
—,-,
держава,-,
в,-,
Південно,Південно | I-LOC,LOC
-,- | I-LOC,LOC
Східній,Східній | I-LOC,LOC
Азії,Азії | I-LOC,LOC
",",-,
розташована,-,
на,-,
півночі,-,
острова,-,
Борнео,-,LOC
(,-,
Калімантан,Калімантан | I-LOC,LOC
),-,
",",-,
що,-,
межує,-,
з,-,
Малайзією,Малайзією | I-LOC,LOC
на,-,
суші,-,
",",-,
а,-,
на,-,
півночі,-,
омивається,-,
Південно,Південно | I-LOC,LOC
-,-,LOC
Китайським,Китайським | I-LOC,LOC
морем,-,
.,-,
</S>,-,
<S>,-,
Площа,-,
—,-,
5765,-,
км,-,
²,-,
(,-,
з,-,
них,-,
5265,-,
км,-,
²,-,
—,-,
суша,-,
),-,
.,-,
Площа,-,
територіальних,-,
вод,-,
—,-,
500,-,
км,-,
²,-,
",",-,
ширина,-,
виключної,-,
економічної,-,
зони,-,
—,-,
200,-,
морських,-,
миль,-,
.,-,
Довжина,-,
берегової,-,
лінії,-,
—,-,
161,-,
км,-,
",",-,
довжина,-,
державного,-,
кордону,-,
з,-,
Малайзією,Малайзією | I-LOC,LOC
—,-,
266,-,
км,-,
.,-,
</S>,-,
<S>,-,
Долина,-,
Лімбанг,-,LOC
поділяє,-,
Бруней,Бруней | I-LOC,LOC
на,-,
дві,-,
частини,-,
;,-,
приєднання,-,
частини,-,
Сараваку,-,LOC
до,-,
Малайзії,Малайзії | I-LOC,LOC
в,-,
1890,-,
році,-,
оскаржується,оскаржується | I-PER,
Брунеєм,-,LOC
.,-,
</S>,-,
<S>,-,
(,-,
зображення,-,
=,-,
St_Peter,-,
%,-,
27s_Square,-,
",",-,
_Vatican_City_,-,
-,-,
_April_2007,-,
.,-,
jpg,-,
),-,
</S>,-,
<S>,-,
"""",-,
Ватикан,-,LOC
"""",-,
",",-,
або,-,
"""",-,
Святійший,-,LOC
Престол,-,LOC
"""",-,
",",-,
також,-,
"""",-,
Держава,-,LOC
-,-,LOC
Місто,-,LOC
Ватикан,-,
"""",-,
(,-,
",",-,
),-,
—,-,
резиденція,-,
Папи,-,
Римського,Римського | I-PER,
",",-,
територія,-,
"""",-,
Святійшого,-,LOC
Престолу,Престолу | I-PER,LOC
"""",-,
(,-,
"""",-,
Престолу,-,
Святого,-,
Петра,Петра | I-PER,
"""",-,
),-,
",",-,
центрального,-,
органу,-,
Католицької,Католицької | I-PER,
Церкви,Церкви | I-PER,
.,-,
Місто,-,
-,-,
держава,-,
.,-,
Найменша,-,
у,-,
світі,-,
незалежна,-,
держава,-,
",",-,
анклав,-,
посеред,-,
Риму,Риму | I-LOC,LOC
в,-,
Італії,Італії | I-LOC,LOC
.,-,
Ватикан,Ватикан | I-LOC,LOC
—,-,
це,-,
також,-,
адміністративна,-,
організація,-,
",",-,
яка,-,
допомагає,-,
йому,-,
управляти,-,
Церквою,-,
(,-,
вона,-,
також,-,
має,-,
назву,-,
Римська,Римська | I-PER,
Курія,Курія | I-PER,
),-,
.,-,
</S>,-,
<S>,-,
Для,-,
християн,-,
Ватикан,Ватикан | I-LOC,LOC
набув,-,
значення,-,
ще,-,
на,-,
зорі,-,
християнства,-,
у,-,
звязку,-,
з,-,
тим,-,
",",-,
що,-,
",",-,
згідно,-,
з,-,
переказами,-,
",",-,
саме,-,
там,-,
у,-,
67,-,
р,-,
.,-,
н,-,
.,-,
е,-,
.,-,
був,-,
розпятий,-,
св,св | I-PER,
.,-,
Петро,Петро | I-PER,
[,-,
http,-,
:,-,
/,-,
/,-,
www.vehi.net,-,
/,-,
istoriya,-,
/,-,
cerkov,-,
/,-,
pamfil,-,
/,-,
cerkovist,-,
/,-,
history.html,-,
Євсевій,Євсевій | I-PER,
Кесарійський,Кесарійський | I-PER,
",",-,
Церковна,-,
історія,-,
",",-,
Книга,-,
2,-,
",",-,
Розділ,-,
25,-,
",",-,
ряд,-,
.,-,
5,-,
-,-,
8,-,
.,-,
</S>,-,
<S>,-,
"""",-,
Сполучене,-,LOC
Королівство,-,LOC
Великої,-,LOC
Британії,-,LOC
та,-,LOC
Північної,-,LOC
Ірландії,-,LOC
"""",-,
(,-,
),-,
",",-,
відоме,-,
також,-,
під,-,
такими,-,
короткими,-,
назвами,-,
",",-,
як,-,
"""",-,
Велика,-,LOC
Британія,-,LOC
"""",-,
(,-,
),-,
",",-,
"""",-,
Сполучене,-,LOC
Королівство,-,LOC
"""",-,
(,-,
),-,
",",-,
"""",-,
Британія,-,LOC
"""",-,
(,-,
</S>,-,
<S>,-,
"""",-,
Венесуела,Венесуела | I-LOC,LOC
"""",-,
(,-,
"""",-,
Бенесвела,-,LOC
"""",-,
",",-,
«,-,
мала,-,
Венеція,Венеція | I-LOC,LOC
»,-,
),-,
",",-,
офіційно,-,
"""",-,
Боліварська,Боліварська | I-LOC,LOC
Республіка,Республіка | I-LOC,LOC
Венесуела,Венесуела | I-LOC,LOC
"""",-,
(,-,
</S>,-,
<S>,-,
"""",-,
Вірменія,-,LOC
"""",-,
(,-,
",",-,
"""",-,
Гайястан,-,LOC
"""",-,
),-,
",",-,
офіційно,-,
"""",-,
Республіка,-,LOC
Вірменія,-,LOC
"""",-,
(,-,
",",-,
"""",-,
Гайястані,-,LOC
Ганрапетутьюн,-,LOC
"""",-,
),-,
—,-,
парламентсько,-,
-,-,
президентська,президентська | I-LOC,
республіка,республіка | I-LOC,
на,-,
південному,-,
сході,-,
Європи,Європи | I-LOC,LOC
",",-,
в,-,
Закавказзі,Закавказзі | I-LOC,LOC
",",-,
між,-,
Чорним,-,LOC
та,-,
Каспійським,Каспійським | I-LOC,LOC
морями,-,LOC
.,-,
Межує,-,
з,-,
Грузією,Грузією | I-LOC,LOC
на,-,
півночі,-,
",",-,
Азербайджаном,Азербайджаном | I-LOC,LOC
на,-,
північному,-,
сході,-,
",",-,
Нагірно,Нагірно | I-LOC,LOC
-,- | I-LOC,LOC
Карабаською,Карабаською | I-LOC,LOC
Республікою,Республікою | I-LOC,LOC
(,-,
де,-,
-,- | I-LOC,
юре,юре | I-LOC,
Азербайджан,Азербайджан | I-LOC,LOC
),-,
на,-,
сході,-,
",",-,
з,-,
Іраном,Іраном | I-LOC,LOC
на,-,
південному,-,
сході,-,
",",-,
з,-,
Нахічеванською,-,LOC
