words,ents,anns
"""",-,
Янцзи,-,LOC
"""",-,
(,-,
),-,
або,-,
"""",-,
Чан,-,LOC
"""",-,
(,-,
",",-,
«,-,
Довга,-,
річка,-,
»,-,
),-,
—,-,
найдовша,-,
річка,-,
Євразії,-,LOC
",",-,
третя,-,
за,-,
довжиною,-,
у,-,
світі,-,
(,-,
після,-,
Нілу,-,LOC
і,-,
Амазонки,-,LOC
),-,
.,-,
Протікає,-,
територією,-,
Китайської,Китайської | I-LOC,LOC
Народної,Народної | I-LOC,LOC
Республіки,Республіки | I-LOC,LOC
",",-,
має,-,
довжину,-,
близько,-,
6,-,
300,-,
км,-,
",",-,
площа,-,
басейну,-,
—,-,
1,-,
"808,5",-,
км,-,
²,-,
.,-,
Янцзи,-,LOC
приймає,-,
притоки,-,
з,-,
пятої,-,
частини,-,
площі,-,
Китаю,Китаю | I-LOC,LOC
і,-,
в,-,
її,-,
басейні,-,
проживає,-,
третина,-,
населення,-,
Китаю,Китаю | I-LOC,LOC
.,-,
Разом,-,
з,-,
Хуанхе,Хуанхе | I-LOC,LOC
",",-,
Янцзи,Янцзи | I-LOC,LOC
є,-,
найважливішою,-,
річкою,-,
в,-,
історії,-,
",",-,
культурі,-,
та,-,
економіці,-,
Китаю,Китаю | I-LOC,LOC
.,. | I-LOC,
Процвітаюча,-,
дельта,-,
річки,-,
Янцзи,-,LOC
продукує,-,
до,-,
20,-,
%,-,
ВВП,-,
Китаю,Китаю | I-LOC,LOC
.,-,
Річка,-,
є,-,
важливою,-,
фізичною,-,
і,-,
культурною,-,
розділовою,-,
лінією,-,
між,-,
Північчю,Північчю | I-LOC,
і,-,
Півднем,-,
Китаю,Китаю | I-PER,LOC
.,. | I-PER,
Китайці,-,
",",-,
що,-,
живуть,-,
на,-,
північ,-,
від,-,
Янцзи,Янцзи | I-LOC,LOC
",",-,
говорять,-,
різними,-,
діалектами,-,
мандаринської,-,
мови,-,
.,-,
У,-,
більшості,-,
провінцій,-,
на,-,
південь,-,
від,-,
річки,-,
розмовляють,-,
китайськими,-,
мовами,-,
",",-,
які,-,
є,-,
незрозумілими,-,
для,-,
мандариномовних,-,
людей,-,
.,-,
Річка,-,
Янцзи,-,LOC
протікає,-,
через,-,
велику,-,
кількість,-,
екосистем,-,
і,-,
сама,-,
є,-,
середовищем,-,
проживання,-,
декількох,-,
ендемічних,-,
і,-,
зникаючих,-,
видів,-,
",",-,
включаючи,-,
китайських,-,
річкових,-,
дельфінів,-,
(,-,
нині,-,
вимерлі,-,
),-,
",",-,
китайських,-,
алігаторів,-,
",",-,
і,-,
осетра,-,
Янцзи,Янцзи | I-LOC,LOC
.,-,
Протягом,-,
тисячоліть,-,
людина,-,
використовувала,-,
річку,-,
для,-,
пиття,-,
",",-,
зрошення,-,
",",-,
каналізації,-,
",",-,
транспорту,-,
",",-,
промисловості,-,
",",-,
позначення,-,
кордонів,-,
і,-,
воєн,-,
.,-,
ГЕС,-,
«,-,
Три,-,
ущелини,-,
»,-,
на,-,
річці,-,
Янцзи,-,LOC
є,-,
найбільшою,-,
гідроелектростанцією,-,
у,-,
світі,-,
.,-,
В,-,
останні,-,
роки,-,
річка,-,
постраждала,-,
від,-,
промислового,-,
забруднення,-,
навколишнього,-,
середовища,-,
",",-,
сільськогосподарських,-,
стоків,-,
",",-,
замулювання,-,
і,-,
втрати,-,
водно,-,
-,-,
болотних,-,
угідь,-,
та,-,
озер,-,
",",-,
що,-,
посилює,-,
сезонні,-,
повені,-,
.,-,
Деякі,-,
ділянки,-,
річки,-,
в,-,
наш,-,
час,-,
міні,-,
|,-,
праворуч,-,
|,-,
310пкс,-,
|,-,
Дельта,-,
Маккензі,Маккензі | I-PER,LOC
є,-,
джерелом,-,
виносу,-,
седиментів,-,
у,-,
море,-,LOC
Бофорта,-,LOC
"""",-,
Макензі,-,LOC
"""",-,
(,-,
",",-,
),-,
—,-,
найбільша,-,
річка,-,
Канади,Канади | I-LOC,LOC
й,-,
усієї,-,
американської,американської | I-LOC,
Півночі,-,LOC
:,-,
протяжність,-,
річки,-,
—,-,
",",-,
а,-,
річкової,-,
системи,-,
:,-,
Макензі,Макензі | I-LOC,LOC
-,-,
Невільнича,-,LOC
-,- | I-LOC,
Піс,-,LOC
-,-,
Фінлей,-,LOC
—,-,
"""",-,
Інд,Інд | I-LOC,LOC
"""",-,
(,-,
Урду,-,
:,-,
"""",-,
"""",-,
Sindh,-,
"""",-,
"""",-,
;,-,
Синдхі,-,
:,-,
"""",-,
"""",-,
Sindhu,-,
"""",-,
"""",-,
;,-,
пенджабі,пенджабі | I-LOC,
(,-,
Shahmukhi,-,
:,-,
سندھ,-,
",",-,
Gurmukhi,-,
:,-,
ਸਿੰਧੂ,-,
),-,
"""",-,
"""",-,
Sindhu,-,
"""",-,
"""",-,
;,-,
Хінді,-,
та,-,
Санскрит,-,
:,-,
सिन्धु,-,
"""",-,
"""",-,
Sindhu,-,
"""",-,
"""",-,
;,-,
Фарсі,-,
:,-,
"""",-,
"""",-,
حندو,-,
;,-,
Пушту,-,
:,-,
"""",-,
"""",-,
ّ,-,
آباسن,-,
"""",-,
"""",-,
Батько,-,
річок,-,
"""",-,
"""",-,
;,-,
Тибетська,-,
:,-,
"""",-,
"""",-,
«,-,
"""",-,
Левина,-,
Річка,-,
"""",-,
»,-,
;,-,
китайська,-,
:,-,
"""",-,
Дунай,-,LOC
"""",-,
(,-,
антична,-,
назва,-,
—,-,
"""",""" | I-ORG",
Істр,-,LOC
"""",-,
),-,
—,-,
друга,-,
за,-,
довжиною,-,
і,-,
площею,-,
басейну,-,
річка,-,
Європи,Європи | I-LOC,LOC
(,-,
після,-,
Волги,-,LOC
),-,
.,-,
Довжина,-,
—,-,
2960,-,
км,-,
.,-,
Річка,-,
бере,-,
початок,-,
на,-,
території,-,
Німеччини,Німеччини | I-LOC,LOC
",",-,
в,-,
горах,-,
Шварцвальда,-,LOC
.,-,
Далі,-,
протікає,-,
через,-,
столиці,-,
Центральної,Центральної | I-LOC,LOC
та,-,
Східної,Східної | I-LOC,LOC
Європи,Європи | I-LOC,LOC
—,-,
Відень,Відень | I-LOC,LOC
",",-,
Братиславу,Братиславу | I-LOC,LOC
",",-,
Будапешт,Будапешт | I-LOC,LOC
і,-,
Белград,Белград | I-LOC,LOC
",",-,
і,-,
впадає,-,
в,-,
Чорне,-,LOC
море,-,LOC
через,-,
дельту,-,
Дунаю,-,LOC
в,-,
Румунії,Румунії | I-LOC,LOC
та,-,
Україні,Україні | I-LOC,LOC
.,-,
"""",-,
Середня,-,LOC
Замбезі,-,LOC
:,-,
"""",-,
Каломо,-,LOC
(,-,
л,-,
.,-,
),-,
",",-,
Гваї,-,LOC
(,-,
пр,-,
.,-,
),-,
",",-,
Сенгва,-,LOC
(,-,
пр,-,
.,-,
),-,
",",-,
Саньянті,-,LOC
(,-,
пр,-,
.,-,
),-,
",",-,
Кафуе,-,LOC
(,-,
л,-,
.,-,
),-,
",",-,
Луангва,-,LOC
(,-,
л,-,
.,-,
),-,
"""",-,
Саскачеван,Саскачеван | I-LOC,LOC
"""",-,
(,-,
",",-,
),-,
—,-,
одна,-,
з,-,
найбільших,-,
річок,-,
у,-,
Канаді,Канаді | I-LOC,LOC
.,-,
Річка,Річка | I-LOC,
перетинає,-,
провінції,-,
Саскачеван,Саскачеван | I-LOC,LOC
і,-,
Манітоба,Манітоба | I-LOC,LOC
і,-,
впадає,-,
в,-,
озеро,-,
Вінніпег,Вінніпег | I-LOC,LOC
.,-,
Вона,-,
бере,-,
свій,-,
початок,-,
зі,-,
злиттям,-,
двох,-,
приток,-,
річки,-,
Південний,Південний | I-LOC,LOC
Саскачеван,Саскачеван | I-LOC,LOC
