words,ents,anns
"""",-,
Амман,-,LOC
"""",-,
(,-,
Аман,-,LOC
),-,
(,-,
араб,-,
.,-,
"""",-,
عمان,-,
"""",-,
"""",-,
ʿAmmān,-,LOC
"""",-,
),-,
—,-,
місто,-,
",",-,
столиця,-,
головний,-,
промисловий,-,
центр,-,
Гашимітського,Гашимітського | I-LOC,LOC
Королівства,Королівства | I-LOC,LOC
Йорданія,Йорданія | I-LOC,LOC
.,-,
(,-,
title,-,
=,-,
Area,-,
",",-,
population,-,
density,-,
",",-,
dwelling,-,
density,-,
and,-,
average,-,
dwelling,-,
occupation,-,
),-,
(,-,
url,-,
=,-,
http,-,
:,-,
/,-,
/,-,
www.os.amsterdam.nl,-,
/,-,
tabel,-,
/,-,
2008_mutatiestatistiek_stand.xls,-,
),-,
(,-,
зображення,-,
=,-,
Lake,-,LOC
Anosy,-,LOC
",",-,
Central,-,LOC
Antananarivo,-,LOC
",",-,
Capital,-,
of,-,
Madagascar,-,LOC
",",-,
Photo,-,
by,-,
Sascha,-,
Grabow.jpg,-,
),-,
(,-,
зображення_підпис,-,
=,-,
Центральна,-,
частина,-,
Антананаріву,-,LOC
",",-,
в,-,
тому,-,
числі,-,
озеро,-,
Аносі,-,LOC
),-,
(,-,
міста,-,
-,-,
побратими,-,
=,-,
Єреван,Єреван | I-LOC,LOC
",",-,
Вірменія,Вірменія | I-LOC,LOC
",",-,
Сучжоу,Сучжоу | I-LOC,LOC
",",-,
Китай,Китай | I-LOC,LOC
",",-,
Ніцца,Ніцца | I-LOC,LOC
",",-,
Франція,Франція | I-LOC,LOC
",",-,
Фонтене,Фонтене | I-LOC,LOC
-,- | I-LOC,LOC
о,о | I-LOC,LOC
-,- | I-LOC,LOC
Роз,Роз | I-LOC,LOC
",",-,
Франція,Франція | I-LOC,LOC
",",-,
Воркута,Воркута | I-LOC,LOC
",",-,
Росія,Росія | I-LOC,LOC
),-,
"""",-,
Астана,-,LOC
"""",-,
(,-,
каз,-,
.,-,
",",-,
рос,-,
.,-,
:,-,
"""",-,
Астана,Астана | I-ORG,LOC
"""",-,
),-,
—,-,
столиця,-,
Казахстану,Казахстану | I-LOC,LOC
.,-,
Населення,-,
814,-,
401,-,
(,-,
2014,-,
),-,
.,-,
"""",-,
Асунсьйон,-,LOC
"""",-,
або,-,
"""",-,
Ла,-,LOC
-,-,LOC
Муй,-,LOC
-,-,LOC
Нобле,-,LOC
-,-,LOC
і,-,LOC
-,-,LOC
Леаль,-,LOC
-,-,LOC
Сьюдад,-,LOC
-,-,LOC
де,-,LOC
-,-,LOC
Нуестра,-,LOC
-,-,LOC
Сеньйора,-,LOC
-,- | I-LOC,LOC
Санта,-,LOC
-,-,LOC
Марія,-,LOC
-,-,LOC
де,де | I-LOC,LOC
-,- | I-LOC,LOC
ла,ла | I-LOC,LOC
-,-,LOC
Асунсьйон,-,LOC
"""",-,
(,-,
",",-,
Оцінки,-,
населення,-,
істотно,-,
відрізняються,-,
.,-,
Енциклопедія,-,
Британніка,-,
вказує,-,
на,-,
2001,-,
рік,-,
населення,-,
у,-,
"4,95",-,
млн,-,
",",-,
Lancet,-,
Report,-,
2006,-,
року,-,
—,-,
у,-,
"6,55",-,
млн,-,
в,-,
2004,-,
році,-,
.,-,
*,-,
"""",-,
Gilbert,-,
Burnham,-,
",",-,
Riyadh,-,LOC
Lafta,-,
",",-,
Shannon,-,
Doocy,-,
",",-,
and,-,
Les,-,
Roberts,-,
:,-,
"""",-,
The,-,
Lancet,Lancet | I-ORG,
"""",-,
",",-,
2006,-,
|,-,
lat_dir,-,
=,-,
N,-,
|,-,
lat_deg,-,
=,-,
40,-,
|,-,
lat_min,-,
=,-,
23,-,
|,-,
lat_sec,-,
=,-,
|,-,
lon_dir,-,
=,-,
E,-,
|,-,
lon_deg,-,
=,-,
49,-,
|,-,
lon_min,-,
=,-,
59,-,
|,-,
lon_sec,-,
=,-,
(,-,
міста,-,
-,-,
побратими,-,
=,-,
Амман,Амман | I-LOC,LOC
",",-,
Басра,Басра | I-LOC,LOC
",",-,
Бордо,Бордо | I-LOC,LOC
",",-,
Вунг,Вунг | I-LOC,LOC
Тау,Тау | I-LOC,LOC
",",-,
Гонолулу,Гонолулу | I-LOC,LOC
",",-,
Дакар,Дакар | I-LOC,LOC
",",-,
Джидда,Джидда | I-LOC,LOC
",",-,
Ізмір,Ізмір | I-LOC,LOC
",",-,
Київ,Київ | I-LOC,LOC
",",-,
Конья,Конья | I-LOC,LOC
",",-,
Майнц,Майнц | I-LOC,LOC
",",-,
Неаполь,Неаполь | I-LOC,LOC
",",-,
Санкт,Санкт | I-LOC,LOC
-,- | I-LOC,LOC
Петербург,Петербург | I-LOC,LOC
",",-,
Сараєво,Сараєво | I-LOC,LOC
",",-,
Стамбул,Стамбул | I-LOC,LOC
",",-,
Тебриз,Тебриз | I-LOC,LOC
",",-,
Хюстон,-,LOC
),-,
"""",-,
Баку,-,LOC
"""",-,
(,-,
",",-,
МФА,-,
:,-,
),-,
—,-,
столиця,-,
Азербайджанської,Азербайджанської | I-LOC,LOC
Республіки,Республіки | I-LOC,LOC
",",-,
найбільший,-,
промисловий,-,
",",-,
економічний,-,
",",-,
і,-,
науково,-,
-,-,
технічний,-,
центр,-,
Закавказзя,Закавказзя | I-LOC,LOC
",",-,
а,-,
також,-,
найбільший,-,
порт,-,
на,-,
Каспійському,-,
морі,-,
і,-,
найбільше,-,
місто,-,
на,-,
Кавказі,Кавказі | I-LOC,LOC
.,-,
Площа,-,
міста,-,
становить,-,
2130,-,
км,-,
²,-,
.,-,
Баку,Баку | I-LOC,LOC
розташований,-,
на,-,
південному,-,
березі,-,
Апшеронського,Апшеронського | I-LOC,LOC
півострова,-,LOC
.,. | I-LOC,
Місто,-,
за,-,
своєю,-,
давниною,-,
",",-,
величиною,-,
території,-,
та,-,
чисельністю,-,
населення,-,
є,-,
одним,-,
із,-,
старовинних,-,
і,-,
найбільших,-,
міст,-,
Сходу,Сходу | I-LOC,LOC
.,-,
З,-,
населенням,-,
Апшеронського,Апшеронського | I-LOC,LOC
півострова,півострова | I-LOC,LOC
населення,-,
агломерації,-,
становить,-,
2,-,
"545,6",-,
тис,-,
.,-,
жителів,-,
.,-,
Баку,Баку | I-LOC,LOC
удостоєний,-,
в,-,
2010,-,
році,-,
програмою,-,
ООН,ООН | I-ORG,
з,-,
навколишнього,-,
середовища,-,
(,-,
UNEP,-,
),-,
",",-,
звання,-,
одного,-,
з,-,
головних,-,
міст,-,
по,-,
проведенню,-,
Всесвітнього,-,
дня,-,
навколишнього,-,
середовища,-,
.,-,
Подібні,-,
міста,-,
в,-,
Європі,Європі | I-LOC,LOC
обираються,-,
щорічно,-,
.,-,
У,-,
2010,-,
році,-,
",",-,
разом,-,
із,-,
столицею,-,
Азербайджану,Азербайджану | I-LOC,LOC
",",-,
цих,-,
титулів,-,
удостоєні,-,
також,-,
Генуя,Генуя | I-LOC,LOC
(,-,
Італія,Італія | I-LOC,LOC
),-,
і,-,
Женева,Женева | I-LOC,LOC
(,-,
Швейцарія,Швейцарія | I-ORG,LOC
),) | I-ORG,
.,-,
Файл:NoviBG,-,
Nov30,-,
2005,-,
.,-,
jpg,-,
|,-,
міні,-,
|,-,
праворуч,-,
|,-,
300пкс,-,
|,-,
Панорама,-,
Белграда,Белграда | I-LOC,LOC
з,-,
фортеці,-,
Калемегдан,-,LOC
"""",-,
Берн,Берн | I-ORG,LOC
"""",-,
(,-,
",",-,
",",-,
),-,
—,-,
де,-,
-,-,
факто,-,
—,-,
столиця,-,
Швейцарії,Швейцарії | I-LOC,LOC
",",-,
четверте,-,
за,-,
кількістю,-,
населення,-,
місто,-,
країни,-,
(,-,
після,-,
Цюриха,Цюриха | I-LOC,LOC
",",-,
Женеви,Женеви | I-ORG,LOC
та,та | I-ORG,
Базеля,Базеля | I-ORG,LOC
),) | I-ORG,
.,-,
Також,-,
є,-,
столицею,-,
кантону,-,
Берн,Берн | I-LOC,LOC
.,-,
Швейцарці,-,
офіційно,-,
називають,-,
Берн,Берн | I-LOC,LOC
не,-,
столицею,-,
",",-,
а,-,
«,-,
федеральним,-,
містом,-,
»,-,
(,-,
(,-,
міста,-,
-,-,
побратими,-,
=,-,
Алмати,Алмати | I-LOC,LOC
Астана,Астана | I-LOC,LOC
Колорадо,Колорадо | I-LOC,LOC
-,- | I-LOC,LOC
Спрингс,Спрингс | I-LOC,LOC
Меріден,Меріден | I-LOC,LOC
Хіросіма,Хіросіма | I-LOC,LOC
Анкара,Анкара | I-LOC,LOC
Ізмір,Ізмір | I-LOC,LOC
Торонто,Торонто | I-LOC,LOC
Урумчі,Урумчі | I-LOC,LOC
Мінськ,Мінськ | I-LOC,LOC
),-,
"""",-,
Богота,-,LOC
"""",-,
(,-,
",",-,
де,-,
"""",-,
D.C,-,LOC
.,-,
"""",-,
означає,-,
"""",-,
Distrito,-,
Capital,-,
"""",-,
—,-,
«,-,
Столичний,-,LOC
округ,округ | I-ORG,LOC
»,-,
),-,
",",-,
раніше,-,
"""",-,
Санта,Са́нта | I-LOC,LOC
-,- | I-LOC,LOC
Фе,Фе | I-LOC,LOC
-,- | I-LOC,LOC
де,де | I-LOC,LOC
-,-,LOC
Богота,-,LOC
"""",-,
(,-,
"""",-,
Братислава,-,LOC
"""",-,
(,-,
(,-,
до,-,
1919,-,
р,-,
.,-,
—,-,
"""",-,
Prešporok,-,LOC
"""",-,
",",-,
"""",-,
Прешпорок,-,LOC
"""",-,
",",-,
"""",-,
Prešporek,-,LOC
"""",-,
",",-,
"""",-,
Прешпорек,-,LOC
"""",-,
",",-,
",",-,
"""",-,
Пресбург,-,LOC
"""",-,
",",-,
",",-,
"""",-,
Пожонь,-,LOC
"""",-,
),-,
—,-,
столиця,-,
Словацької,Словацької | I-LOC,LOC
республіки,республіки | I-LOC,LOC
",",-,
місто,-,
в,-,
центральній,-,
Європі,Європі | I-LOC,LOC
",",-,
в,-,
період,-,
з,-,
1536,-,
до,-,
1784,-,
—,-,
столиця,-,
Угорщини,Угорщини | I-LOC,LOC
.,-,
"""",-,
Бриджтаун,-,LOC
"""",-,
(,-,
),-,
—,-,
столиця,-,
й,-,
головний,-,
порт,-,
Барбадосу,Барбадосу | I-LOC,LOC
.,-,
Населення,-,
міста,-,
—,-,
96578,-,
жителів,-,
.,-,
Бриджтаун,Бриджтаун | I-PER,LOC
був,-,
заснований,-,
англійцями,-,
в,-,
1628,-,
році,-,
на,-,
південно,-,
-,-,
західному,-,
березі,-,
острова,-,
й,-,
протягом,-,
більш,-,
ніж,-,
трьох,-,
сторіч,-,
залишався,-,
головним,-,
містом,-,
британської,британської | I-LOC,
колонії,колонії | I-LOC,
.,-,
В,-,
1966,-,
році,-,
",",-,
після,-,
здобуття,-,
країною,-,
незалежності,-,
",",-,
Бриджтаун,Бриджтаун | I-PER,LOC
став,-,
столицею,-,
Барбадосу,Барбадосу | I-LOC,LOC
.,-,
Торговельний,-,
і,-,
туристичний,-,
центр,-,
країни,-,
",",-,
Бриджтаун,Бриджтаун | I-LOC,LOC
є,-,
портом,-,
призначення,-,
багатьох,-,
океанських,-,
лайнерів,-,
.,-,
Розвинено,-,
харчосмакову,-,
й,-,
легку,-,
промисловість,-,
.,-,
Місто,-,
експортує,-,
одяг,-,
",",-,
електроустаткування,-,
",",-,
цукор,-,
",",-,
ром,-,
й,-,
інше,-,
.,-,
Великий,-,
внесок,-,
в,-,
економіку,-,
міста,-,
робить,-,
туризм,-,
.,-,
Є,-,
міжнародний,міжнародний | I-ORG,
аеропорт,-,
.,-,
Однієї,-,
з,-,
визначних,-,
памяток,-,
міста,-,
є,-,
Трафальгарська,Трафальгарська | I-LOC,LOC
площа,-,
",",-,
у,-,
центрі,-,
якої,-,
перебуває,-,
памятник,-,
англійському,-,
адміралові,-,
лордові,-,
Нельсону,-,
.,-,
Дуже,-,
цікава,-,
є,-,
відреставрована,-,
й,-,
перероблена,-,
в,-,
морський,-,
музей,-,
судноверф,-,
.,-,
На,-,
колишній,-,
парадній,-,
площі,-,
Гаррісон,Гаррісон | I-LOC,LOC
Савана,-,LOC
щорічно,-,
проходять,-,
міжнародні,-,
турніри,-,
з,-,
крикету,крикету | I-LOC,
й,-,
інших,-,
видах,-,
спорту,-,
.,-,
(,-,
зображення_підпис,-,
=,-,
Починаючи,-,
зверху,-,
",",-,
зліва,-,
направо,-,
:,-,
загальний,-,
вигляд,-,
міста,-,
з,-,
річкою,-,
Дунай,-,LOC
",",-,
лев,-,
охороняє,-,
Ланцюговий,-,
міст,-,
Сечені,Сечені | I-LOC,LOC
",",-,
Площа,-,LOC
Героїв,-,LOC
",",-,
Будинок,-,
парламенту,парламенту | I-LOC,
Угорщини,Угорщини | I-LOC,LOC
",",-,
Рибальський,-,
бастіон,-,
",",-,
Базиліка,-,
Святого,Святого | I-PER,
Іштвана,Іштвана | I-PER,
",",-,
та,-,
панорама,-,
з,-,
гори,-,
Геллерт,-,
із,-,
Будайським,-,
замком,-,
зліва,-,
),-,
1873,-,
року,-,
міста,-,
Пешт,Пешт | I-LOC,LOC
(,-,
—,-,
грубка,-,
),-,
",",-,
яке,-,
лежало,-,
на,-,
східному,-,
боці,-,
річки,-,
Дунай,-,LOC
",",-,
Буда,Буда | I-LOC,LOC
(,-,
),-,
і,-,
Обуда,-,LOC
(,-,
(,-,
зображення_підпис,-,
=,-,
Зверху,-,
униз,-,
",",-,
зліва,-,
направо,-,
:,-,
панорама,-,
району,-,
•,-,
Театр,-,
Колумба,-,
•,-,
Кафедральний,Кафедральний | I-LOC,
собор,собор | I-LOC,
Буенос,Буенос | I-LOC,LOC
-,- | I-LOC,LOC
Айреса,Айреса | I-LOC,LOC
•,-,
Жіночий,-,
міст,-,
•,-,
Вулиця,-,
9,-,
Липня,-,
•,-,
Обеліск,-,
•,-,
"""",-,
Caminito,-,
"""",-,
в,-,
районі,районі | I-LOC,
Ла,Ла | I-LOC,LOC
-,- | I-LOC,LOC
Бока,Бока | I-LOC,LOC
•,-,
Палац,-,
Національного,Національного | I-ORG,
конгресу,конгресу | I-ORG,
Аргентини,Аргентини | I-ORG,LOC
•,-,
Каса,-,
-,-,
Росада,-,
),-,
(,-,
герб,-,
=,-,
Seal,-,
of,-,
the,-,
Buenos,-,
Aires,-,
City,-,
(,-,
2003,-,
-,-,
2006,-,
),-,
.,. | I-LOC,
svg,-,
),-,
(,-,
розташування,-,
=,-,
Ciudad,-,
Autónoma,-,
de,-,
Buenos,-,
Aires,-,
-,-,
localización,-,
en,-,
Argentina,-,
2,-,
.,-,
svg,-,
),-,
(,-,
засноване,-,
=,-,
3,-,
лютого,-,
1536,-,
(,-,
Педро,Педро | I-PER,
де,де | I-PER,
Мендоса,Мендоса | I-PER,
),-,
11,-,
червня,-,
1580,-,
(,-,
Хуан,Хуан | I-PER,
де,де | I-PER,
Ґарай,Ґарай | I-PER,
),-,
),-,
(,-,
поділ,-,
міста,-,
=,-,
15,-,
комун48,-,
районів,-,
(,-,
офіційно,-,
),-,
http,-,
:,-,
/,-,
/,-,
www.atlasdebuenosaires.gov.ar,-,
/,-,
aaba,-,
/,-,
index.php,-,
?,-,
option,-,
=,-,
com_content,-,
&,-,
task,-,
=,-,
view,-,
&,-,
id,-,
=,-,
422,-,
&,-,
Itemid,-,
=,-,
55,-,
&,-,
lang,-,
=,-,
es110,-,
районів,-,
(,-,
неофіційно,-,
),-,
),-,
"""",-,
Бужумбура,-,LOC
"""",-,
—,-,
столиця,столиця | I-LOC,
Бурунді,Бурунді | I-LOC,LOC
",",-,
місто,-,
з,-,
населенням,-,
близько,-,
300,-,
.,-,
осіб,-,
(,-,
1994,-,
),-,
.,-,
Бужумбура,Бужумбура | I-PER,LOC
також,-,
є,-,
найбільшим,-,
містом,-,
в,-,
Бурунді,Бурунді | I-LOC,LOC
.,-,
Місто,-,
розташоване,-,
на,-,
північно,-,
-,-,
східному,-,
березі,-,
озера,-,
Танганьїка,-,LOC
",",-,
другого,-,
за,-,
глибиною,-,
озера,-,
в,-,
світі,-,
після,-,
озера,-,
Байкал,-,LOC
