words,ents,anns
(,-,
url,-,
=,-,
https,-,
:,-,
/,-,
/,-,
www.cia.gov,-,
/,-,
library,-,
/,-,
publications,-,
/,-,
the,-,
-,-,
world,-,
-,-,
factbook,-,
/,-,
geos,-,
/,-,
pp.html,-,
),-,
"""",-,
Острів,-,
Елсмір,Елсмір | I-LOC,LOC
"""",-,
(,-,
),-,
—,-,
острів,-,
у,-,
Північному,-,LOC
Льдовитому,-,LOC
океані,-,LOC
в,-,
складі,-,
Канадського,-,LOC
Арктичного,Арктичного | I-LOC,LOC
архіпелагу,-,LOC
і,-,
частини,-,
Островів,-,LOC
Королеви,Королеви | I-PER,LOC
Єлизавети,Єлизавети | I-PER,LOC
.,. | I-PER,
Третій,-,
за,-,
розмірами,-,
острів,-,
у,-,
Канаді,Канаді | I-LOC,LOC
і,-,
десятий,-,
у,-,
світі,-,
.,-,
Має,-,
площу,-,
196,-,
235,-,
км,-,
²,-,
(,-,
що,-,
становить,-,
приблизно,-,
третину,-,
площі,-,
України,України | I-LOC,LOC
),-,
",",-,
і,-,
належить,-,
до,-,
території,-,
Нунавут,Нунавут | I-LOC,LOC
.,-,
Найвища,-,
точка,-,
на,-,
острові,-,
—,-,
гора,-,
Пік,-,LOC
Барбо,-,LOC
(,-,
),-,
2616,-,
м,-,
над,-,
рівнем,-,
моря,-,
.,-,
На,-,
схід,-,
від,-,
нього,-,
проходить,-,
кордон,-,
між,-,
Канадою,Канадою | I-LOC,LOC
і,-,
Гренландією,Гренландією | I-LOC,LOC
.,-,
На,-,
відстані,-,
приблизно,-,
50,-,
км,-,
знаходиться,-,
крайня,-,
західна,-,
точка,-,
Гренландії,-,LOC
Мис,-,LOC
Олександра,Олександра | I-PER,LOC
.,-,
На,-,
острові,-,
проживає,-,
146,-,
чоловік,-,
(,-,
за,-,
даними,-,
2006,-,
року,-,
),-,
—,-,
з,-,
них,-,
141,-,
у,-,
містечку,-,
Ґріс,Ґріс | I-LOC,LOC
Фіорд,-,LOC
та,-,
5,-,
чоловік,-,
у,-,
поселенні,-,
Алерт,-,LOC
",",-,
яке,-,
є,-,
найпівнічнішим,-,
населеним,-,
пунктом,-,
світу,-,
(,-,
817,-,
км,-,
від,-,
Північного,-,LOC
полюсу,-,LOC
),-,
.,-,
У,-,
дослідницькому,-,
поселенні,-,
Еврика,Еврика | I-LOC,LOC
(,-,
),-,
",",-,
яке,-,
є,-,
другим,-,
найпівнічнішим,-,
поселенням,-,
світу,-,
",",-,
постійного,-,
населення,-,
немає,-,
",",-,
однак,-,
принаймні,-,
8,-,
робітників,-,
працюють,-,
на,-,
ній,-,
ротаційно,-,
.,-,
Більше,-,
п’ятої,-,
частини,-,
острова,-,
входить,-,
до,-,
національного,-,
парку,-,
Куттінірпаак,-,LOC
",",-,
який,-,
включає,-,
сім,-,
фіордів,-,
",",-,
численні,-,
льодовики,-,
та,-,
озеро,-,
Гейзен,-,LOC
(,-,
"""",-,
Ява,-,LOC
"""",-,
