words,ents,anns
(,-,
текст5,-,
=,-,
Беринґове,-,LOC
",",-,
Беллінгсґаузена,-,LOC
",",-,
Росса,Росса | I-LOC,LOC
",",-,
Тасманове,-,LOC
",",-,
Коралове,-,LOC
",",-,
Яванське,-,LOC
",",-,
Південно,Південно | I-LOC,LOC
-,- | I-LOC,LOC
Китайське,Китайське | I-LOC,LOC
і,-,
Східно,-,LOC
-,-,LOC
Китайське,Китайське | I-LOC,LOC
",",-,
Жовте,-,LOC
",",-,
Японське,-,LOC
",",-,
Охотське,-,LOC
),-,
"""",-,
Тихий,-,LOC
океан,-,LOC
"""",-,
",",-,
"""",-,
Великий,-,LOC
океан,-,LOC
"""",-,
—,-,
частина,-,
Світового,-,LOC
океану,-,LOC
.,-,
Обмежений,-,
материками,-,
Євразія,-,LOC
і,-,
Австралія,Австралія | I-LOC,LOC
на,-,
заході,-,
",",-,
Північна,Північна | I-LOC,LOC
і,-,
Південна,Південна | I-LOC,LOC
Америка,Америка | I-LOC,LOC
на,-,
сході,-,
",",-,
лінією,-,
",",-,
що,-,
проходить,-,
між,-,
півостровами,-,
Чукотським,-,LOC
(,-,
мис,-,
Унікин,-,LOC
),-,
і,-,
Сьюард,Сьюард | I-LOC,LOC
на,-,
півночі,-,
",",-,
Південним,Південним | I-LOC,LOC
океаном,-,LOC
на,-,
півдні,-,
.,-,
Найбільший,-,
з,-,
океанів,-,
на,-,
Землі,-,
.,-,
Площа,-,
з,-,
морями,-,
близько,-,
180,-,
мільйонів,-,
км,-,
²,-,
(,-,
1,-,
/,-,
3,-,
поверхні,-,
земної,-,
кулі,-,
і,-,
1,-,
/,-,
2,-,
Світового,-,LOC
океану,-,LOC
),-,
",",-,
обєм,-,
води,-,
710,-,
мільйонів,-,
км,-,
³,-,
.,-,
Найбільш,-,
глибокий,-,
басейн,-,
Світового,-,LOC
океану,-,LOC
",",-,
середня,-,
глибина,-,
—,-,
3,-,
980,-,
м,-,
",",-,
максимальна,-,
глибина,-,
—,-,
11,-,
22,-,
м,-,
(,-,
Маріанська,-,LOC
западина,-,LOC
),-,
"""",-,
Атлантичний,-,LOC
океан,-,LOC
"""",-,
",",-,
раніше,-,
"""",-,
Атлантійський,-,LOC
океан,-,LOC
"""",-,
—,-,
другий,-,
за,-,
величиною,-,
",",-,
після,-,
Тихого,-,LOC
океану,-,LOC
",",-,
океан,-,
на,-,
Землі,-,LOC
.,-,
"""",-,
Берингове,-,LOC
море,-,LOC
"""",-,
—,-,
окраїнне,-,
море,-,
змішаного,-,
материково,-,
-,-,
океанічного,-,
типу,-,
(,-,
глибини,-,
менше,-,
500,-,
м,-,
займають,-,
половину,-,
площі,-,
),-,
на,-,
півночі,-,
Тихого,-,
океану,-,
",",-,
розташоване,-,
між,-,
північно,-,
-,-,
східними,-,
берегами,-,
Азії,Азії | I-LOC,LOC
і,-,
північно,-,
-,-,
західними,-,
берегами,-,
Північної,Північної | I-LOC,LOC
Америки,Америки | I-LOC,LOC
.,-,
Файл:Buchta,Файл:Buchta | I-PER,
Nagajewa,Nagajewa | I-PER,
(,-,
Magadan,-,
),-,
.,-,
jpeg,-,
|,-,
thumb,-,
|,-,
right,-,
|,-,
280px,-,
|,-,
Бухта,-,LOC
Нагаєва,-,LOC
біля,-,
Магадана,Магадана | I-LOC,LOC
",",-,
Росія,Росія | I-LOC,LOC
"""",-,
Яванське,-,LOC
море,-,LOC
"""",-,
(,-,
),-,
—,-,
мілководне,-,
міжострівне,-,
море,-,
на,-,
заході,-,
Тихого,-,LOC
океану,-,LOC
",",-,
між,-,
індонезійськими,-,
островами,-,
Малайського,Малайського | I-LOC,LOC
архіпелагу,-,LOC
(,-,
Суматра,Суматра | I-LOC,LOC
",",-,
Ява,Ява | I-LOC,LOC
",",-,
Калімантан,Калімантан | I-LOC,LOC
",",-,
Сулавесі,Сулавесі | I-LOC,LOC
),-,
.,-,
Є,-,
частиною,-,
так,-,
званого,-,
Австрало,-,LOC
-,-,LOC
Азійського,Азійського | I-LOC,LOC
Середземного,-,LOC
моря,-,LOC
на,-,
Зондському,-,LOC
шельфі,-,LOC
.,-,
Виникло,-,
наприкінці,-,
останнього,-,
льодовикового,-,
періоду,-,
.,-,
Зондською,-,LOC
протокою,-,LOC
сполучається,-,
з,-,
Індійським,Індійським | I-LOC,LOC
океаном,-,LOC
.,-,
Площа,-,
552,-,
тисячі,-,
км,-,
²,-,
",",-,
глибини,-,
до,-,
1,-,
272,-,
м,-,
",",-,
переважні,-,
глибини,-,
до,-,
60,-,
м,-,
(,-,
середня,-,
глибина,-,
111,-,
м,-,
thumb,-,
|,-,
200px,-,
|,-,
Більша,-,
частина,-,
сучасної,-,
Фінляндії,Фінляндії | I-LOC,LOC
є,-,
колишнім,-,
морським,-,
дном,-,
",",-,
або,-,
архіпелагом,-,
:,-,
рівень,-,
моря,-,
відразу,-,
після,-,
останнього,-,
льодовикового,-,
періоду,-,
"""",-,
Балтійське,-,LOC
море,-,LOC
"""",-,
(,-,
давньоруська,-,
назва,-,
—,-,
"""",-,
Варязьке,-,LOC
море,-,LOC
"""",-,
",",-,
у,-,
часи,-,
Клавдія,Клавдія | I-PER,
Птоломея,Птоломея | I-PER,
—,-,
"""",-,
Венедська,-,LOC
затока,-,LOC
"""",-,
"""",-,
Венеди,-,
"""",-,
/,-,
/,-,
Енциклопедія,-,
історії,-,
України,України | I-LOC,LOC
:,-,
у,-,
10,-,
т,-,
.,-,
/,-,
редкол,-,
.,-,
:,-,
В,В | I-PER,
.,. | I-PER,
А,А | I-PER,
.,. | I-PER,
Смолій,Смолій | I-PER,
та,-,
ін,ін | I-PER,
.,-,
;,-,
Інститут,-,
історії,-,
України,України | I-ORG,LOC
НАН,НАН | I-ORG,
України,України | I-ORG,LOC
.,-,
—,-,
м,-,
.,-,
Київ,Київ | I-LOC,LOC
:,-,
вид,-,
.,-,
«,-,
Наукова,-,
думка,-,
»,-,
",",-,
2005,-,
р,-,
.,-,
—,-,
Т,-,
.,. | I-PER,
1,-,
(,-,
А,-,
–,-,
В,-,
),-,
",",-,
С,С | I-PER,
.,. | I-PER,
476,-,
.,-,
—,-,
ISBN,-,
966,-,
-,-,
.,-,
-,-,
415,-,
-,-,
X,-,
"""",-,
Ірландське,-,LOC
море,-,LOC
"""",-,
(,-,
",",-,
",",-,
",",-,
",",-,
",",-,
),-,
—,-,
окраїнне,-,
море,-,
Атлантичного,-,LOC
океану,-,LOC
",",-,
розташоване,-,
між,-,
островами,-,
Велика,Велика | I-LOC,LOC
Британія,Британія | I-LOC,LOC
на,-,
сході,-,
та,-,
Ірландія,Ірландія | I-LOC,LOC
на,-,
заході,-,
(,-,
51,-,
°,-,
40,-,
—,-,
54,-,
°,-,
30,-,
півн,-,
.,-,
ш,-,
.,-,
і,-,
3,-,
°,-,
—,-,
6,-,
°,-,
з,-,
.,-,
д,д | I-ORG,
.,. | I-ORG,
),-,
.,-,
Омиває,-,
з,-,
півночі,-,
берега,-,
Шотландії,Шотландії | I-LOC,LOC
",",-,
із,-,
заходу,-,
—,-,
Республіки,Республіки | I-LOC,LOC
Ірландія,Ірландія | I-LOC,LOC
та,-,
Північну,Північну | I-LOC,LOC
Ірландію,Ірландію | I-LOC,LOC
.,-,
На,-,
південь,-,
від,-,
моря,-,
розташований,-,
Уельс,Уельс | I-LOC,LOC
на,-,
схід,-,
—,-,
Англія,Англія | I-LOC,LOC
.,-,
На,-,
південному,-,
заході,-,
переходить,-,
в,-,
протоку,-,
святого,-,
Георгія,Георгія | I-PER,LOC
",",-,
через,-,
яку,-,
зєднується,-,
з,-,
Кельтським,-,LOC
морем,-,LOC
і,-,
океаном,-,
",",-,
на,-,
півночі,-,
—,-,
в,-,
Північну,-,LOC
протоку,-,LOC
",",-,
через,-,
яку,-,
зєднуються,-,
з,-,
Гебридським,Гебридським | I-LOC,LOC
морем,-,LOC
В,-,
античність,-,
Ірландське,-,LOC
море,-,LOC
море,-,
було,-,
відомо,-,
під,-,
назвою,-,
"""",-,
Ібернійський,-,LOC
океан,-,LOC
"""",-,
(,-,
лат,-,
.,-,
Oceanus,Oceanus | I-PER,
Hibernicus,-,
),-,
.,-,
За,-,
словами,-,
організації,-,
Ґрінпіс,-,
",",-,
в,-,
2001,-,
році,-,
Ірландське,-,LOC
море,-,LOC
було,-,
найбільш,-,
радіоактивно,-,
забрудненим,-,
морем,-,
планети,-,
через,-,
скид,-,
відходів,-,
комплексу,-,
Селлафілд,-,
Файл:STS040,-,
-,-,
610,-,
-,-,
50,-,
.,-,
jpg,-,
|,-,
thumb,-,
|,-,
Знімок,-,
Мармурового,-,LOC
моря,-,LOC
з,-,
космосу,-,
(,-,
STS,-,
-,-,
40,-,
",",-,
1991,-,
),-,
",",-,
море,-,
виглядає,-,
як,-,
світле,-,
водоймище,-,
"""",-,
Мармурове,-,LOC
море,-,LOC
"""",-,
(,-,
",",-,
",",-,
",",-,
відоме,-,
також,-,
за,-,
своєю,-,
античною,-,
назвою,-,
як,-,
"""",-,
Пропонтида,-,LOC
"""",-,
(,-,
),-,
),-,
",",-,
—,-,
внутрішнє,-,
море,-,
",",-,
що,-,
сполучає,-,
Чорне,-,LOC
море,-,LOC
з,-,
Егейським,-,LOC
",",-,
відділяючи,-,
таким,-,
чином,-,
азійську,-,
частину,-,
Туреччини,Туреччини | I-LOC,LOC
від,-,
європейської,-,
.,-,
Протока,-,
Босфор,-,LOC
сполучає,-,
його,-,
з,-,
Чорним,Чорним | I-LOC,LOC
морем,-,LOC
",",-,
а,-,
протока,-,
Дарданелли,-,LOC
з,-,
Егейським,-,LOC
.,-,
Босфор,-,LOC
також,-,
поділяє,-,
Стамбул,Стамбул | I-LOC,LOC
на,-,
його,-,
азійську,-,
та,-,
європейську,-,
сторони,-,
.,-,
Море,-,
має,-,
площу,-,
11.35,-,
км,-,
²,-,
і,-,
глибину,-,
до,-,
1355,-,
м,-,
.,-,
Солоність,-,
моря,-,
у,-,
середньому,-,
становить,-,
близько,-,
22,-,
‰,-,
",",-,
що,-,
трохи,-,
більше,-,
ніж,-,
у,-,
Чорного,-,LOC
моря,-,LOC
",",-,
але,-,
становить,-,
лише,-,
дві,-,
третини,-,
від,-,
солоності,-,
океанів,-,
.,-,
Проте,-,
",",-,
придонні,-,
води,-,
набагато,-,
солоніші,-,
з,-,
середньою,-,
солоністю,-,
близько,-,
38,-,
‰,-,
—,-,
як,-,
у,-,
Середземного,-,LOC
моря,-,LOC
.,-,
Ця,-,
високощільна,-,
солона,-,
вода,-,
",",-,
як,-,
і,-,
у,-,
Чорному,-,LOC
морі,-,LOC
",",-,
не,-,
просувається,-,
до,-,
поверхні,-,
.,-,
Води,-,
з,-,
річок,-,
Гранік,-,LOC
",",-,
Сусурлук,-,LOC
і,-,
Гьонен,-,LOC
також,-,
знижують,-,
солоність,-,
моря,-,
",",-,
хоча,-,
й,-,
меншою,-,
мірою,-,
ніж,-,
річки,-,
Чорного,-,LOC
моря,-,LOC
.,-,
Майже,-,
всі,-,
ці,-,
річки,-,
витікають,-,
з,-,
Анатолії,Анатолії | I-LOC,LOC
.,-,
Є,-,
дві,-,
головні,-,
острівні,-,
групи,-,
відомі,-,
як,-,
Принцеві,-,LOC
острови,-,LOC
та,-,
острів,-,
Мармара,Мармара | I-LOC,LOC
.,-,
Остання,-,
група,-,
багата,-,
на,-,
джерела,-,
мармуру,-,
і,-,
дала,-,
морю,-,
його,-,
назву,-,
(,-,
від,-,
"""",-,
Саргасове,-,LOC
море,-,LOC
"""",-,
—,-,
район,-,
антициклонічного,-,
кругообігу,-,
вод,-,
в,-,
центрі,-,
